"area","qe2a","qe2b","qe2c","qe2d","qe2e","qe2f","qe2g","qe2h","qe2i","qe2j","qe2k","qe2l","qe2m","qe2n","qe2o","qe2p","qe2q","qe2r","qe2s","qe2t"
"BAHAWALNAGAR",47.1,40.6,62,52.9,46.9,24.9,47.3,48,45.1,43.3,46.3,47.3,44.9,51.4,37.6,42.4,30,39.6,33.5,47.3
"BAHAWALPUR",50.3,42,66.3,50.1,43.2,25.3,46.3,47.7,40.8,41.4,41.8,46.1,40.8,48.7,35.4,38,28.3,39.4,30.9,49.9
"BHAKKAR",63.2,56.7,65.2,53,51,51,51,52.2,49.8,49.8,53,52.2,51,53.8,49,48.6,46.6,49.8,49.8,55.5
"D.G. KHAN",49.2,46.5,67.1,49.2,49.2,34.5,48.8,48.8,46.9,44.6,48.1,47.3,43.4,49.2,38.8,40.7,35.7,40.3,36,48.8
"KHUSHAB",73.6,65.7,79.5,65.3,61.5,55.6,59.8,62.3,57.7,56.9,63.2,62.8,56.5,64.9,50.6,53.1,52.3,51.5,46.4,56.9
"LAYYAH",60,48.5,73.8,56.4,48.5,27,48.9,47.9,44.4,42,46.7,49.7,42.6,51.9,38.3,43.2,34.5,40.2,36.7,52.3
"LODHRAN",48.4,40.2,65.4,43.1,35.4,26,35.4,33.3,34.1,30.9,39.8,40.2,28,40.2,29.7,28,26,26.8,30.9,38.2
"MIANWALI",78.9,57.4,92.5,65.3,59.6,47.9,62.3,56.2,53.6,52.1,70.6,68.7,56.2,73.6,45.7,50.6,47.2,49.8,52.1,58.1
"MUZAFFARGARH",54.4,41.6,81.4,43.3,43.5,40.1,52.9,40.9,38.6,40.1,51,46.7,39.9,51.6,33.7,38.6,39.9,31.6,32,41.6
"RAHIMYAR KHAN",45.1,40.5,61.9,49.3,43.3,31.2,45.6,40.5,39.5,37.2,45.1,42.8,37.2,44.7,32.1,36.3,26.5,34.9,27.9,47
"RAJANPUR",62.2,52.9,75.7,60.2,55.2,37.1,58.3,54.1,49,52.9,55.2,54.4,49.4,59.5,42.5,49.4,39.8,45.6,41.3,56.8
"Punjab",56.5,47.1,71.7,52.9,48.1,34.5,50.2,47.9,44.7,44,49.9,50,44,53,38.7,42.2,36,40.2,36.9,49.7
