"district","unique_school_code","teacher_code","n_da","n_obs"
"BAHAWALNAGAR","31120061",2,5,1
"BAHAWALNAGAR","31120061",3,5,1
"BAHAWALNAGAR","31120083",2,5,1
"BAHAWALNAGAR","31120083",3,5,1
"BAHAWALNAGAR","31120130",2,9,1
"BAHAWALNAGAR","31120130",3,,1
"BAHAWALNAGAR","31120397",1,8,
"BAHAWALNAGAR","31120397",2,2,2
"BAHAWALNAGAR","31120397",3,,2
"BAHAWALNAGAR","31120400",2,2,
"BAHAWALNAGAR","31120400",3,5,1
"BAHAWALNAGAR","31120453",1,3,
"BAHAWALNAGAR","31120453",2,3,1
"BAHAWALNAGAR","31120453",3,4,1
"BAHAWALNAGAR","31120567",2,5,1
"BAHAWALNAGAR","31120567",3,3,1
"BAHAWALNAGAR","31120574",2,7,1
"BAHAWALNAGAR","31120574",3,3,1
"BAHAWALNAGAR","31120575",2,7,1
"BAHAWALNAGAR","31120575",3,3,
"BAHAWALNAGAR","31120589",2,5,1
"BAHAWALNAGAR","31120589",3,5,1
"BAHAWALNAGAR","31120601",1,5,
"BAHAWALNAGAR","31120601",2,5,1
"BAHAWALNAGAR","31120601",3,,1
"BAHAWALNAGAR","31120652",1,3,
"BAHAWALNAGAR","31120652",2,5,2
"BAHAWALNAGAR","31120652",3,,2
"BAHAWALNAGAR","31140061",2,5,2
"BAHAWALNAGAR","31140061",3,5,2
"BAHAWALNAGAR","31140265",2,7,2
"BAHAWALNAGAR","31140265",3,3,2
"BAHAWALNAGAR","31140493",2,5,2
"BAHAWALNAGAR","31140494",2,5,2
"BAHAWALNAGAR","31140494",3,5,
"BAHAWALNAGAR","31150013",2,3,
"BAHAWALNAGAR","31150013",3,2,2
"BAHAWALNAGAR","31150030",2,11,2
"BAHAWALNAGAR","31150030",3,,2
"BAHAWALNAGAR","31150037",2,6,2
"BAHAWALNAGAR","31150037",3,4,2
"BAHAWALNAGAR","31150055",2,2,
"BAHAWALNAGAR","31150055",3,3,2
"BAHAWALNAGAR","31150142",2,10,
"BAHAWALNAGAR","31150142",3,,2
"BAHAWALNAGAR","31150160",2,7,2
"BAHAWALNAGAR","31150160",3,3,2
"BAHAWALNAGAR","31150334",2,1,2
"BAHAWALNAGAR","31150334",3,5,2
"BAHAWALNAGAR","31150511",1,3,2
"BAHAWALNAGAR","31150511",2,4,
"BAHAWALNAGAR","31150511",3,3,2
"BAHAWALPUR","31210044",2,5,
"BAHAWALPUR","31210044",3,5,1
"BAHAWALPUR","31210045",2,5,1
"BAHAWALPUR","31210045",3,5,1
"BAHAWALPUR","31210099",2,6,
"BAHAWALPUR","31210099",3,1,1
"BAHAWALPUR","31210162",2,3,1
"BAHAWALPUR","31210162",3,5,
"BAHAWALPUR","31210189",2,5,1
"BAHAWALPUR","31210189",3,5,1
"BAHAWALPUR","31210378",2,4,1
