old_col_names,new_col_names
id,id
enumerator_name,enumerator_name
enumerator_mobile,enumerator_mobile
survey_day,survey_day
survey_time,survey_time
mobile_id,mobile_id
application_registeration,application_registeration
group_school_code_1,school_code_1
group_school_code_2,school_code_2
group_school_code_3,school_code_3
cnic_number,cnic_number
unique_school_code2,unique_school_code
enum_name,enum_name
school_infor_sr_no,sr_no
school_infor_school_name,school_name
school_infor_district,district
school_infor_tehsil,tehsil
school_infor_level,level
school_infor_school_gender,school_gender
school_infor_urban_rural,urban_rural
school_infor_markaz,markaz
school_infor_moza,moza
school_infor_permanent_address,permanent_address
school_infor_street_name,street_name
school_infor_uc_name,uc_name
school_infor_uc_no,uc_no
school_infor_head_teacher_name,head_teacher_name
school_infor_head_teacher_contact,head_teacher_contact
school_infor_sample,sample
group1_student_name,student_name
group1_student_father_name,student_father_name
group1_student_roster_id,student_roster_id
group1_teacher_code,teacher_code
group1_teacher_name,teacher_name
group1_teacher_mobile,teacher_mobile
group1_teacher_cnic,teacher_cnic
group1_birth,birth_date
group1_age_days,age_days
group1_age_years,age_years
group1_age_months,age_months
group1_note_age,note_age
group1_primary_language,primary_language
group1_student_gender,student_gender
group1_childs_grade,childs_grade
group1_attended_ece,attended_ece
group1_attended_katchi,attended_katchi
child_provided_assent,child_provided_assent
group2_q1a,q1a
group2_q1b,q1b
group2_q1c,q1c
group2_q1d,q1d
group2_q1e,q1e
group2_q2a,q2a
group2_q2b,q2b
group2_q2c,q2c
group2_q2d,q2d
group2_q2e,q2e
group2_q2f,q2f
group2_q2g,q2g
group2_q2h,q2h
group2_q2i,q2i
group2_q2j,q2j
group2_q2_ncorrect,q2_ncorrect
group2_q2k,q2k
group2_q2l,q2l
group2_q2m,q2m
group2_q2n,q2n
group2_q2o,q2o
group2_q2p,q2p
group2_q2q,q2q
group2_q2r,q2r
group2_q2s,q2s
group2_q2t,q2t
group2_q3a,q3a
group2_q3b,q3b
group2_q3c,q3c
group2_q4a,q4a
group2_q4_stop,q4_stop
group2_q5a,q5a
group2_q5b,q5b
group2_q5c,q5c
group2_q5d,q5d
group2_q6a,q6a
group2_q6b,q6b
group2_q6c,q6c
group2_q6d,q6d
group2_q7a,q7a
group2_q7b,q7b
group2_q7c,q7c
group2_q8a,q8a
group2_q8b,q8b
group2_q8c,q8c
group2_q8d,q8d
group2_q8e,q8e
group2_q8f,q8f
group2_q8g,q8g
group2_q8h,q8h
group2_q8i,q8i
group2_q8j,q8j
group2_q8_ncorrect,q8_ncorrect
group2_q8k,q8k
group2_q8l,q8l
group2_q8m,q8m
group2_q8n,q8n
group2_q8o,q8o
group2_q8p,q8p
group2_q8q,q8q
group2_q8r,q8r
group2_q8s,q8s
group2_q8t,q8t
group2_q9a,q9a
group2_q9b,q9b
group2_q9c,q9c
group2_q10a,q10a
group2_q10b,q10b
group2_q10c,q10c
group2_q10d,q10d
group2_q10e,q10e
group2_q11stop1,q11stop1
group2_q11a,q11a
group2_q11b,q11b
group2_q11c,q11c
group2_q11d,q11d
group2_q11e,q11e
group2_q11f,q11f
group2_q11g,q11g
group2_q11h,q11h
group2_q11i,q11i
group2_q11j,q11j
group2_q11k,q11k
group2_q11l,q11l
group2_q11m,q11m
group2_q11n,q11n
group2_q11o,q11o
group2_q12a,q12a
group2_q12b,q12b
group2_q12c,q12c
group2_q12d,q12d
group2_q13a,q13a
group2_q13b,q13b
group2_q13c,q13c
group2_q13d,q13d
group2_q14a_text,q14a_text
group2_q14a,q14a
group2_qe2a,qe2a
group2_qe2b,qe2b
group2_qe2c,qe2c
group2_qe2d,qe2d
group2_qe2e,qe2e
group2_qe2f,qe2f
group2_qe2g,qe2g
group2_qe2h,qe2h
group2_qe2i,qe2i
group2_qe2j,qe2j
group2_qe2_ncorrect,qe2_ncorrect
group2_qe2k,qe2k
group2_qe2l,qe2l
group2_qe2m,qe2m
group2_qe2n,qe2n
group2_qe2o,qe2o
group2_qe2p,qe2p
group2_qe2q,qe2q
group2_qe2r,qe2r
group2_qe2s,qe2s
group2_qe2t,qe2t
group2_q14b_text,q14b_text
group2_q14b,q14b
group2_q14c_text,q14c_text
group2_q14c,q14c
startdate,start_time
endtime,end_time
start_geopoint,geopoint
start_geopoint_longitude,geopoint_longitude
start_geopoint_latitude,geopoint_latitude
start_geopoint_altitude,geopoint_altitude
meta_audit,meta_audit
meta_instance_id,meta_instance_id
meta_instance_name,meta_instance_name
system_submission_date,system_submission_date
system_submitter_id,system_submitter_id
system_submitter_name,system_submitter_name
system_attachments_present,system_attachments_present
system_attachments_expected,system_attachments_expected
system_device_id,system_device_id
system_edits,system_edits
odata_context,odata_context
