old_col_names,new_col_names
id,id
enumerator_name,enumerator_name
enumerator_mobile,enumerator_mobile
survey_day,survey_day
survey_time,survey_time
mobile_id,mobile_id
application_registeration,application_registeration
group_school_code_1,school_code_1
group_school_code_2,school_code_2
group_school_code_3,school_code_3
cnic_number,cnic_number
unique_school_code2,unique_school_code
enum_name,enum_name
school_infor_sr_no,sr_no
school_infor_school_name,school_name
school_infor_district,district
school_infor_tehsil,tehsil
school_infor_level,level
school_infor_school_gender,school_gender
school_infor_urban_rural,urban_rural
school_infor_markaz,markaz
school_infor_moza,moza
school_infor_permanent_address,permanent_address
school_infor_street_name,street_name
school_infor_uc_name,uc_name
school_infor_uc_no,uc_no
school_infor_head_teacher_name,head_teacher_name
school_infor_head_teacher_contact,head_teacher_contact
school_infor_sample,sample
group0_teacher_code,teacher_code
group0_teacher_name,teacher_name
group0_teacher_mobile,teacher_mobile
group0_teacher_cnic,teacher_cnic
group0_enumerator_cnic,enumerator_cnic
group0_date,date
group1_enrollment_boy_less_3,enrollment_boys_less_3
group1_enrollment_boy_3,enrollment_boys_3
group1_enrollment_boy_4,enrollment_boys_4
group1_enrollment_boy_5,enrollment_boys_5
group1_enrollment_boy_6,enrollment_boys_6
group1_enrollment_boy_greater_6,enrollment_boys_greater_6
group1_enrollment_girls_less_3,enrollment_girls_less_3
group1_enrollment_girls_3,enrollment_girls_3
group1_enrollment_girls_4,enrollment_girls_4
group1_enrollment_girls_5,enrollment_girls_5
group1_enrollment_girls_6,enrollment_girls_6
group1_enrollment_girls_greater_6,enrollment_girls_greater_6
group1_class_total_enrollment,class_total_enrollment
group2_present_boys_less_3,present_boys_less_3
group2_present_boys_3,present_boys_3
group2_present_boys_4,present_boys_4
group2_present_boys_5,present_boys_5
group2_present_boys_6,present_boys_6
group2_present_boys_greater_6,present_boys_greater_6
group2_present_girls_less_3,present_girls_less_3
group2_present_girls_3,present_girls_3
group2_present_girls_4,present_girls_4
group2_present_girls_5,present_girls_5
group2_present_girls_6,present_girls_6
group2_present_girls_greater_6,present_girls_greater_6
group2_class_total_present,class_total_present
you_are_observing,you_are_observing
class,class
grade_1_childrens,grade1_children
type_of_class,type_of_class
group3_boys_adults_assigned_to_work_1,n_teach_male
group3_girls_adults_assigned_to_work_1,n_teach_female
group3_boys_adults_assigned_to_work_2,n_asst_teach_male
group3_girls_adults_assigned_to_work_2,n_asst_teach_female
group3_boys_adults_assigned_to_work_3,n_asst_spec_support_male
group3_girls_adults_assigned_to_work_3,n_asst_spec_support_female
