old_col_names,new_col_names
id,id
enumerator_name,enumerator_name
enumerator_mobile,enumerator_mobile
survey_day,survey_day
survey_time,survey_time
mobile_id,mobile_id
application_registeration,application_registeration
group_school_code_1,school_code_1
group_school_code_2,school_code_2
group_school_code_3,school_code_3
cnic_number,cnic_number
unique_school_code2,unique_school_code
enum_name,enum_name
school_infor_sr_no,sr_no
school_infor_school_name,school_name
school_infor_district,district
school_infor_tehsil,tehsil
school_infor_level,level
school_infor_school_gender,school_gender
school_infor_urban_rural,urban_rural
school_infor_markaz,markaz
school_infor_moza,moza
school_infor_permanent_address,permanent_address
school_infor_street_name,street_name
school_infor_uc_name,uc_name
school_infor_uc_no,uc_no
school_infor_head_teacher_name,head_teacher_name
school_infor_head_teacher_contact,head_teacher_contact
school_infor_sample,sample
student_roster_id,student_roster_id
direct_assessment,direct_assessment
childs_grade,childs_grade
teacher_code,teachers_code
teacher_name,teachers_name
teacher_mobile,teachers_mobile
teacher_cnic,teachers_cnic
respondent_name,respondents_name
q2,q2
q3,q3
q4,q4
children_name,childrens_name
q5,q5
q6,q6
q7,q7
q8,q8
q9,q9
q10,q10
q11,q11
q12,q12
q13,q13
q14,q14
q15,q15
q16,q16
q17,q17
q18,q18
q19,q19
q20,q20
q21,q21
q22,q22
q23,q23
q24,q24
q25,q25
q26,q26
q27a,q27a
q27b,q27b
q27c,q27c
q27d,q27d
q27e,q27e
q27f,q27f
q27g,q27g
q27h,q27h
q27i,q27i
q27j,q27j
q27k,q27k
q27l,q27l
q27m,q27m
q27n,q27n
q28,q28
q29,q29
q29b,q29b
q31,q31
q32,q32
q33,q33
q34,q34
q35,q35
q36,q36
q37,q37
q38,q38
q39,q39
q40,q40
q41,q41
q42,q42
q43,q43
q44,q44
q45,q45
q46,q46
q47,q47
q48,q48
q49,q49
q50,q50
q51,q51
q52,q52
q53,q53
q54,q54
q55,q55
q56,q56
q57,q57
q58,q58
q59,q59
q60,q60
q61,q61
q62,q62
q63,q63
q64,q64
q65,q65
q67,q67
q68_age0_2,q68_age0_2
q68_age3_6,q68_age3_6
q68_age7_9,q68_age7_9
q68_age10_17,q68_age10_17
q69,q69
q70,q70
q71,q71
q72,q72
q73,q73
q74,q74
q79,q79
q80,q80
q81,q81
q82,q82
q83,q83
q84,q84
q85,q85
startdate,start_time
endtime,end_time
start_geopoint,geopoint
start_geopoint_longitude,geopoint_longitude
start_geopoint_latitude,geopoint_latitude
start_geopoint_altitude,geopoint_altitude
meta_audit,meta_audit
meta_instance_id,meta_instance_id
meta_instance_name,meta_instance_name
system_submission_date,system_submission_date
system_submitter_id,system_submitter_id
system_submitter_name,system_submitter_name
system_attachments_present,system_attachments_present
system_attachments_expected,system_attachments_expected
system_device_id,system_device_id
system_edits,system_edits
q76,q76
q77,q77
q78,q78
q78a,q78a
q4_other,q4_other
q66,q66
odata_context,odata_context
q28_other,q28_other
q30,q30
q30_other,q30_other
q29_other,q29_other
