old_col_names,new_col_names
id,id
enumerator_name,enumerator_name
enumerator_mobile,enumerator_mobile
survey_day,survey_day
survey_time,survey_time
mobile_id,mobile_id
application_registeration,application_registeration
group_school_code_1,school_code_1
group_school_code_2,school_code_2
group_school_code_3,school_code_3
cnic_number,cnic_number
unique_school_code2,unique_school_code
enum_name,enum_name
school_infor_sr_no,sr_no
school_infor_school_name,school_name
school_infor_district,district
school_infor_tehsil,tehsil
school_infor_level,level
school_infor_school_gender,school_gender
school_infor_urban_rural,urban_rural
school_infor_markaz,markaz
school_infor_moza,moza
school_infor_permanent_address,permanent_address
school_infor_street_name,street_name
school_infor_uc_name,uc_name
school_infor_uc_no,uc_no
school_infor_head_teacher_name,head_teacher_name
school_infor_head_teacher_contact,head_teacher_contact
school_infor_sample,sample
group1_school_type,school_type
group1_school_landmark,school_landmark
group1_date_of_visit,date_of_visit
group1_gps,gps
group1_gps_longitude,gps_longitude
group1_gps_latitude,gps_latitude
group1_gps_altitude,gps_altitude
a1,a1
a2,a2
phone,phone
a3,a3
a4,a4
a5,a5
a6,a6
a7,a7
a8,a8
a9,a9
a11,a11
a12,a12
b1,b1
b2,b2
group_contract_b3,b3
b5,b5
b6,b6
b10,b10
c1,c1
c5,c5
c6,c6
c7_a,c7_a
c7_b,c7_b
c7_c,c7_c
c7_d,c7_d
c7_e,c7_e
c7_f,c7_f
c7_g,c7_g
da1,da1
da2,da2
da3,da3
db1,db1
db2,db2
db3,db3
dc1,dc1
dc2,dc2
dc3,dc3
dd1,dd1
dd2,dd2
dd3,dd3
de1,de1
de2,de2
de3,de3
df1,df1
df2,df2
df3,df3
dg1,dg1
dg2,dg2
dg3,dg3
dh1,dh1
dh2,dh2
dh3,dh3
di1,di1
di2,di2
di3,di3
dj1,dj1
dj2,dj2
dj3,dj3
dk1,dk1
dk2,dk2
dk3,dk3
e1,e1
e2,e2
e3,e3
f1,f1
f2,f2
f4,f4
f5,f5
f6,f6
f7,f7
f12,f12
f12a,f12a
f13,f13
f13a,f13a
f14,f14
f14a,f14a
f15,f15
f16,f16
g1,g1
g2,g2
g3,g3
h1,h1
h2,h2
h3,h3
i1,i1
i2,i2
i3,i3
j1,j1
startdate,start_time
endtime,end_time
meta_audit,meta_audit
meta_instance_id,meta_instance_id
meta_instance_name,meta_instance_name
system_submission_date,system_submission_date
system_submitter_id,system_submitter_id
system_submitter_name,system_submitter_name
system_attachments_present,system_attachments_present
system_attachments_expected,system_attachments_expected
system_device_id,system_device_id
system_edits,system_edits
b6a,b6a
b7,b7
b8,b8
b9,b9
c2,c2
c3,c3
c3_year,c3_year
c4,c4
f8,f8
h4,h4
b10_other,b10_other
e1_other,e1_other
f2_other,f2_other
f3,f3
f9,f9
f9_number_of_visits,f9_number_of_visits
f10,f10
f11,f11
h5,h5
start_geopoint,geopoint
start_geopoint_longitude,geopoint_longitude
start_geopoint_latitude,geopoint_latitude
start_geopoint_altitude,geopoint_altitude
a3_other,a3_other
dd1_other,dd1_other
dg1_other,dg1_other
dj1_other,dj1_other
dk1_other,dk1_other
g2_other,g2_other
g3_other,g3_other
i1_other,i1_other
a10,a10
f5_other,f5_other
g4,g4
g5,g5
odata_context,odata_context
a5_other,a5_other
a9_other,a9_other
group_contract_b4_year,b4_year
group_contract_b4_month,b4_month
c4_other,c4_other
da1_other,da1_other
db1_other,db1_other
dc1_other,dc1_other
de1_other,de1_other
df1_other,df1_other
dh1_other,dh1_other
di1_other,di1_other
f1_other,f1_other
f3_other,f3_other
f4_other,f4_other
f6_other,f6_other
f10_other,f10_other
f11_other,f11_other
f13_other,f13_other
f13a_other,f13a_other
f14_other,f14_other
f14a_other,f14a_other
f16_other,f16_other
g4_other,g4_other
g5_other,g5_other
h1_other,h1_other
h5_other,h5_other
i2_other,i2_other
i3_other,i3_other
system_updated_at,system_updated_at
system_review_state,system_review_state
e3_other,e3_other
