old_col_names,new_col_names
id,id
enumerator_name,enumerator_name
enumerator_mobile,enumerator_mobile
survey_day,survey_day
survey_time,survey_time
mobile_id,mobile_id
application_registeration,application_registeration
group_school_code_1,school_code_1
group_school_code_2,school_code_2
group_school_code_3,school_code_3
cnic_number,cnic_number
unique_school_code2,unique_school_code
enum_name,enum_name
school_infor_sr_no,sr_no
school_infor_school_name,school_name
school_infor_district,district
school_infor_tehsil,tehsil
school_infor_level,level
school_infor_school_gender,school_gender
school_infor_urban_rural,urban_rural
school_infor_markaz,markaz
school_infor_moza,moza
school_infor_permanent_address,permanent_address
school_infor_street_name,street_name
school_infor_uc_name,uc_name
school_infor_uc_no,uc_no
school_infor_head_teacher_name,head_teacher_name
school_infor_head_teacher_contact,head_teacher_contact
school_infor_sample,sample
teacher_name,teacher_name
teacher_phone,teacher_phone
teacher_gender,teacher_gender
teacher_id,teacher_id
a1,a1
a2,a2
a3,a3
a4,a4
a5,a5
a6a,a6a
a6,a6
a8,a8
a9,a9
a10,a10
a12,a12
a13,a13
a13_other,a13_other
a14,a14
a15,a15
a16,a16
a17,a17
a18,a18
a20,a20
a21,a21
a22,a22
a23,a23
a24,a24
a25,a25
b1,b1
b2,b2
b3,b3
b4,b4
group_contract_b5_number_years,b5_years
group_contract_b5_number_months,b5_months
b6,b6
b7,b7
b12,b12
b16,b16
c1,c1
c2,c2
c3,c3
c3_other,c3_other
c4,c4
c5,c5
c6,c6
c7,c7
c8,c8
group9_c9_3,c9_3
group9_c9_1,c9_1
group9_c9_2,c9_2
group9_c9_99_other,c9_99_other
d1,d1
d2,d2
d3,d3
d4,d4
d5,d5
d6,d6
d6a,d6a
d6b,d6b
d6c,d6c
d6d,d6d
d8,d8
d8a,d8a
d8b,d8b
d8c,d8c
d8d,d8d
d9,d9
d9a,d9a
d9b,d9b
d9c,d9c
d9d,d9d
d11,d11
d12,d12
d13,d13
e1,e1
e1a,e1a
e2,e2
e3_1,e3_1
e3_2,e3_2
e3_3,e3_3
e4,e4
e5,e5
e6,e6
e6a,e6a
e7,e7
e8,e8
e9,e9
f1a,f1a
f1b,f1b
f1c,f1c
f1d,f1d
f1e,f1e
f1f,f1f
f1g,f1g
f2,f2
f3,f3
f4,f4
g1a,g1a
g1b,g1b
g1c,g1c
g1d,g1d
g2,g2
g3,g3
g4,g4
startdate,start_time
endtime,end_time
meta_audit,meta_audit
meta_instance_id,meta_instance_id
meta_instance_name,meta_instance_name
system_submission_date,system_submission_date
system_submitter_id,system_submitter_id
system_submitter_name,system_submitter_name
system_attachments_present,system_attachments_present
system_attachments_expected,system_attachments_expected
system_device_id,system_device_id
system_edits,system_edits
a7,a7
a19,a19
start_geopoint,geopoint
start_geopoint_longitude,geopoint_longitude
start_geopoint_latitude,geopoint_latitude
start_geopoint_altitude,geopoint_altitude
c10,c10
c11,c11
c12,c12
b12a,b12a
b13a,b13a
b13,b13
b14,b14
b15,b15
c8_other,c8_other
f1e_other,f1e_other
g3a,g3a
a5_other,a5_other
b16_other,b16_other
f4_other,f4_other
g2_other,g2_other
g4_other,g4_other
a11_district,a11_district
a11_tehsil,a11_tehsil
a11_mauza,a11_mauza
c10_99_other,c10_99_other
odata_context,odata_context
b8,b8
b9,b9
b10,b10
d1_other,d1_other
b4_other,b4_other
c12_other,c12_other
f2_other,f2_other
d8b_other,d8b_other
d13_other,d13_other
d12_other,d12_other
a12_other,a12_other
a14_other,a14_other
b9_other,b9_other
c7_other,c7_other
group9_c9_4,c9_4
d9b_other,d9b_other
c13,c13
c14,c14
c2_other,c2_other
a23_other,a23_other
b11,b11
d11_other,d11_other
d6b_other,d6b_other
